Card_ID,Card_Name,Card_Rel,Card_Power,Card_Power_Add_Self,Card_Power_Add_Other,Card_Tres,Card_Order,Card_MainTxt,Card_FrebTxt,Card_Illsutrator,Card_ID_Str,Card_Yomi,Card_SameId
117,欲望の魔法　キティ,INSTANT_TACTICS,,0,0,,,,,,117,ヨクボウノマホウ　キティ,欲望の魔法キティ
118,絆の魔法　モモ,INSTANT_TACTICS,,0,0,,,,,,118,キズナノマホウ　モモ,絆の魔法モモ
119,慈愛の魔法　オービー,INSTANT_TACTICS,,0,0,,,,,,119,ジアイノマホウ　オービー,慈愛の魔法オービー
120,創造の魔法　ネル,INSTANT_TACTICS,,0,0,,,,,,120,ソウゾウノマホウ　ネル,創造の魔法ネル
121,突撃槍騎兵　オリオン,INSTANT_TACTICS,,0,0,,,,,,121,トツゲキソウキヘイ　オリオン,突撃槍騎兵オリオン
122,支援弓兵　コール,INSTANT_TACTICS,,0,0,,,,,,122,シエンキュウヘイ　コール,支援弓兵コール
123,物資運搬長　パロマ・グレート,INSTANT_TACTICS,,0,0,,,,,,123,ブッシウンパンチョウ　パロマ・グレート,物資運搬長パロマ・グレート
124,先鋒探求騎士大隊長　ラティル・ディギンス,INSTANT_TACTICS,,0,0,,,,,,124,センホウタンキュウキシダイタイチョウ　ラティル・ディギンス,先鋒探求騎士大隊長ラティル・ディギンス
125,恥龍　べヘナ,INSTANT_TACTICS,,0,0,,,,,,125,チリュウ　ベヘナ,恥龍べヘナ
126,業龍　ザロー,INSTANT_TACTICS,,0,0,,,,,,126,ゴウリュウ　ザロー,業龍ザロー
127,慈龍　イムァス,INSTANT_TACTICS,,0,0,,,,,,127,ジリュウ　イムァス,慈龍イムァス
128,渇龍　ボネロ・サーダガ,INSTANT_TACTICS,,0,0,,,,,,128,カツリュウ　ボネロ・サーダガ,渇龍ボネロ・サーダガ
129,未来視の妖精　フォルテ,INSTANT_TACTICS,,0,0,,,,,,129,ミライシノヨウセイ　フォルテ,未来視の妖精フォルテ
130,過去視の妖精　アルド,INSTANT_TACTICS,,0,0,,,,,,130,カコシノヨウセイ　アルド,過去視の妖精アルド
131,毒石研究者　イブ,INSTANT_TACTICS,,0,0,,,,,,131,ドクセキケンキュウシャ　イブ,毒石研究者イブ
132,探求の妖精　メリア,INSTANT_TACTICS,,0,0,,,,,,132,タンキュウノヨウセイ　メリア,探求の妖精メリア
133,ラヴァーズ,INSTANT_TACTICS,,0,0,,,,,,133,ラヴァーズ,ラヴァーズ
134,ヴァナンス,INSTANT_TACTICS,,0,0,,,,,,134,ヴァナンス,ヴァナンス
135,フェイト,INSTANT_TACTICS,,0,0,,,,,,135,フェイト,フェイト
136,イルタム,INSTANT_TACTICS,,0,0,,,,,,136,イルタム,イルタム
137,虚空の艦長　ベルノート,INSTANT_TACTICS,,0,0,,,,,,137,コクウウノカンチョウ　ベルノート,虚空の艦長ベルノート
138,機甲工兵　P-66,INSTANT_TACTICS,,0,0,,,,,,138,キコウコウヘイ　P-66　ピーロクジュウロク,機甲工兵P-66
139,スゴうで整備士！　パルネ・プラン,INSTANT_TACTICS,,0,0,,,,,,139,スゴウデセイビシ！　パルネ・プラン,スゴうで整備士！パルネ・プラン
