,,,,,,
,,107,《永遠の管理者》∞ウマーマ・ハート,《エイエンノカンリシャ》インフィニピーウマーマ・ハート,3,
,,108,†暗黒深淵惑星†,†ダーク・アンダー・スター†,3,
,,109,||:機械仕掛けのアペルD.C.,キカイジカケノアぺㇽダ・カーポ,3,
,,110,真愛しや、ディスコード。,マカナシヤ、ディスコード。,3,
,,111,Archivist　ケヒトスコネ,アーキビスト　ケヒトスコネ,3,
,,112,ジャスタ・ル・ダルラ,ジャスタ・ル・ダルラ,3,
,,113,不滅なる守護者　ディアンナ,フメツナルシュゴシャ　ディアンナ,3,
,,114,"虚無指す方舟の羅針盤
ーTreasure of Travelerー","キョムサスハコブネノラシンバン
ートレジャーオブトラベラーー",3,
,,115,女王,ジョオウ,1プロモ,
,,116,欲望の魔法　キティ,ヨクボウノマホウ　キティ,INSTANT_TACTICS,
,,117,絆の魔法　モモ,キズナノマホウ　モモ,INSTANT_TACTICS,
,,118,慈愛の魔法　オービー,ジアイノマホウ　オービー,INSTANT_TACTICS,
,,119,創造の魔法　ネル,ソウゾウノマホウ　ネル,INSTANT_TACTICS,
,,120,突撃槍騎兵　オリオン,トツゲキソウキヘイ　オリオン,INSTANT_TACTICS,
,,121,支援弓兵　コール,シエンキュウヘイ　コール,INSTANT_TACTICS,
,,122,物資運搬長　パロマ・グレート,ブッシウンパンチョウ　パロマ・グレート,INSTANT_TACTICS,
,,123,先鋒探求騎士大隊長　ラティル・ディギンス,センホウタンキュウキシダイタイチョウ　ラティル・ディギンス,INSTANT_TACTICS,
,,124,恥龍　べヘナ,チリュウ　ベヘナ,INSTANT_TACTICS,
,,125,業龍　ザロー,ゴウリュウ　ザロー,INSTANT_TACTICS,
,,126,慈龍　イムァス,ジリュウ　イムァス,INSTANT_TACTICS,
,,127,渇龍　ボネロ・サーダガ,カツリュウ　ボネロ・サーダガ,INSTANT_TACTICS,
,,128,未来視の妖精　フォルテ,ミライシノヨウセイ　フォルテ,INSTANT_TACTICS,
,,129,過去視の妖精　アルド,カコシノヨウセイ　アルド,INSTANT_TACTICS,
,,130,毒石研究者　イブ,ドクセキケンキュウシャ　イブ,INSTANT_TACTICS,
,,131,探求の妖精　メリア,タンキュウノヨウセイ　メリア,INSTANT_TACTICS,
,,132,ラヴァーズ,ラヴァーズ,INSTANT_TACTICS,
,,133,ヴァナンス,ヴァナンス,INSTANT_TACTICS,
,,134,フェイト,フェイト,INSTANT_TACTICS,
,,135,イルタム,イルタム,INSTANT_TACTICS,
,,136,虚空の艦長　ベルノート,コクウウノカンチョウ　ベルノート,INSTANT_TACTICS,
,,137,機甲工兵　P-66,キコウコウヘイ　P-66　ピーロクジュウロク,INSTANT_TACTICS,
,,138,スゴうで整備士！　パルネ・プラン,スゴウデセイビシ！　パルネ・プラン,INSTANT_TACTICS,
